First_name,Surname,Height,Weight,Armspan,Wins,Losses,Draws,Total_Fights,Win_Percentage
Jake,Lindsey,71,155,71,9,3,0,12,0.75
John,Lineker,63,135,67,31,9,0,40,0.775
Ariane,Lipski,63,125,67,11,5,0,16,0.6875
Dean,Lister,73,185,75,11,7,0,18,0.611111111
Abner,Lloveras,71,155,71,19,8,1,28,0.696428571
Artem,Lobov,69,145,65,14,15,1,30,0.483333333
Dylan,Lockard,69,145,72,6,1,0,7,0.857142857
Christian,Lohsen,74,155,77,7,1,0,8,0.875
David,Loiseau,72,185,76,20,10,0,30,0.666666667
Hector,Lombard,69,185,71,34,10,1,45,0.766666667
Michael,Lombardo,72,185,72,8,1,0,9,0.888888889
Dileno,Lopes,65,135,65,19,3,0,22,0.863636364
Matthew,Lopez,67,135,69,10,4,0,14,0.714285714
Benito,Lopez,70,135,73,10,1,0,11,0.909090909
Brendan,Loughnane,70,145,70,16,4,0,20,0.8
Joe,Lowry,70,155,72,8,1,0,9,0.888888889
Duane,Ludwig,70,170,70,29,14,0,43,0.674418605
Dalcha,Lungiambula,68,205,76,10,1,0,11,0.909090909
Vicente,Luque,71,170,75,17,6,1,24,0.729166667
Travis,Lutter,71,185,75,10,6,0,16,0.625
Zhenhong,Lv,68,145,67,18,6,0,24,0.75
Chris,Lytle,71,170,68,31,18,5,54,0.62037037
Dong Hyun,Ma,71,155,70,16,10,3,29,0.603448276
William,Patolino,71,170,75,8,3,0,11,0.727272727
Jason,MacDonald,75,185,80,26,16,0,42,0.619047619
Rob,MacDonald,75,205,78,5,4,0,9,0.555555556
Rory,MacDonald,72,170,76,18,4,0,22,0.818181818
Ryan,MacDonald,71,135,71,10,2,0,12,0.833333333
Veronica,Macedo,64,125,64,6,3,1,10,0.65
